station_name,longitude,latitude,station_code,color,line
Thanggam,103.87565537180332,1.3974369934812907,SW4,,Sengkang LRT
Promenade,103.86099644334269,1.2932501662614946,CC4,Orange,Circle
Promenade,103.86099644334269,1.2932501662614946,DT15,Blue,Downtown
Bras Basah,103.85065551126362,1.2968267738263335,CC2,Orange,Circle
Nicoll Highway,103.863633137961,1.299802830048816,CC5,Orange,Circle
Potong Pasir,103.86906995810816,1.331387388848772,NE10,Purple,North East
Lakeside,103.7209653203281,1.3442631500456728,EW26,Green,East West
Samudera,103.90208724257771,1.4158186975144689,PW4,,Punggol LRT
Ranggung,103.89749260372098,1.383921479301167,SE5,,Sengkang LRT
Sembawang,103.82019386177754,1.4490696337603999,NS11,Red,North South
Punggol,103.90239279940202,1.405166777085411,NE17,Purple,North East
Punggol,103.90239279940202,1.405166777085411,PTC,,Punggol LRT
Kangkar,103.90225755099719,1.384030767015161,SE4,,Sengkang LRT
Pioneer,103.69731852720685,1.337586501491158,EW28,Green,East West
Bugis,103.85583934798076,1.3006268209134002,EW12,Green,East West
Bugis,103.85583934798076,1.3006268209134002,DT14,Blue,Downtown
Newton,103.83798766449202,1.3123222845850475,NS21,Red,North South
Newton,103.83798766449202,1.3123222845850475,DT11,Blue,Downtown
Buona Vista,103.78994227925392,1.3072583225799073,EW21,Green,East West
Buona Vista,103.78994227925392,1.3072583225799073,CC22,Orange,Circle
Outram Park,103.83944001272558,1.2797977740593687,EW16,Green,East West
Outram Park,103.83944001272558,1.2797977740593687,NE3,Purple,North East
Outram Park,103.83944001272558,1.2797977740593687,TE17,Brown,Thomson–East Coast
Chinatown,103.84347988607078,1.2843575514522576,NE4,Purple,North East
Chinatown,103.84347988607078,1.2843575514522576,DT19,Blue,Downtown
Expo,103.96237940532605,1.335252108066636,CG1,Green,Changi Airport Branch
Expo,103.96237940532605,1.335252108066636,DT35,Blue,Downtown
Raffles Place,103.85145931541912,1.2840672705009777,NS26,Red,North South
Raffles Place,103.85145931541912,1.2840672705009777,EW14,Green,East West
Tuas Crescent,103.64906349785997,1.321053251388889,EW31,Green,East West
Tuas Link,103.63681865764417,1.340379947546524,EW33,Green,East West
Tuas West Road,103.63962756141935,1.329981823505072,EW32,Green,East West
City Hall,103.85260850449605,1.292933237404427,NS25,Red,North South
City Hall,103.85260850449605,1.292933237404427,EW13,Green,East West
Bishan,103.84814352689496,1.35083838506414,NS17,Red,North South
Bishan,103.84814352689496,1.35083838506414,CC15,Orange,Circle
Fernvale,103.87627965692408,1.3919441924615419,SW5,,Sengkang LRT
Buangkok,103.89309246870114,1.382771583532665,NE15,Purple,North East
Bakau,103.90552634663011,1.3881050155267898,SE3,,Sengkang LRT
Farmway,103.88938286088595,1.3971619027285875,SW2,,Sengkang LRT
Commonwealth,103.79829071896594,1.3024476464221981,EW20,Green,East West
Kupang,103.88137428318558,1.3981975782517115,SW3,,Sengkang LRT
Damai,103.90850357770302,1.4053160222952814,PE7,,Punggol LRT
Queenstown,103.80604523695622,1.294611331953746,EW19,Green,East West
Kallang,103.87131526306408,1.3113966417419969,EW10,Green,East West
Rumbia,103.90589048268193,1.391564445306317,SE2,,Sengkang LRT
Petir,103.76666731226429,1.377754649311194,BP7,,Bukit Panjang LRT
Boon Lay,103.70605907206513,1.3386040238617447,EW27,Green,East West
Keat Hong,103.7490515037209,1.378612166918344,BP3,,Bukit Panjang LRT
Jelapang,103.76450057713733,1.3866966745704865,BP12,,Bukit Panjang LRT
HarbourFront,103.82145073502582,1.2654573484420695,NE1,Purple,North East
HarbourFront,103.82145073502582,1.2654573484420695,CC29,Orange,Circle
Pending,103.77127975005787,1.3761265378632548,BP8,,Bukit Panjang LRT
Clarke Quay,103.84660479385994,1.2885422166854585,NE5,Purple,North East
Fajar,103.77083795604591,1.384532678304142,BP10,,Bukit Panjang LRT
Kovan,103.88509111599782,1.3601798708890225,NE13,Purple,North East
Lorong Chuan,103.86414412661779,1.3516197560990852,CC14,Orange,Circle
Marymount,103.8394128452323,1.3487766564232457,CC16,Orange,Circle
Caldecott,103.83954121437303,1.3376585476158447,CC17,Orange,Circle
Caldecott,103.83954121437303,1.3376585476158447,TE9,Brown,Thomson–East Coast
Downtown,103.85285112567122,1.2794414875060713,DT17,Blue,Downtown
Geylang Bahru,103.8719114642847,1.321512886713365,DT24,Blue,Downtown
Bendemeer,103.86289119769907,1.313644996213015,DT23,Blue,Downtown
Bencoolen,103.85024488985387,1.2987271896396424,DT21,Blue,Downtown
Fort Canning,103.84432545085924,1.2924715943087608,DT20,Blue,Downtown
Kaki Bukit,103.90845515797696,1.3349629788877637,DT28,Blue,Downtown
Jalan Besar,103.85543504051996,1.305380482761965,DT22,Blue,Downtown
Mattar,103.88325305991798,1.3268656824120324,DT25,Blue,Downtown
MacPherson,103.89026149721657,1.3263680371628,CC10,Orange,Circle
MacPherson,103.89026149721657,1.3263680371628,DT26,Blue,Downtown
Bayfront,103.85907645423954,1.2818719116598414,CE1,Orange,Circle Extension
Bayfront,103.85907645423954,1.2818719116598414,DT16,Blue,Downtown
Farrer Road,103.80748912462836,1.3174545709807184,CC20,Orange,Circle
Jurong East,103.74226323370071,1.3332090245724455,NS1,Red,North South
Jurong East,103.74226323370071,1.3332090245724455,EW24,Green,East West
Bedok North,103.91787672284393,1.3347556342977185,DT29,Blue,Downtown
Bedok Reservoir,103.93228754737622,1.336598735876531,DT30,Blue,Downtown
Orchard,103.83221933064601,1.3039377453712606,NS22,Red,North South
Orchard,103.83221933064601,1.3039377453712606,TE14,Brown,Thomson–East Coast
Lentor,103.83634746168929,1.3849312066120423,TE5,Brown,Thomson–East Coast
Bright Hill,103.83293672058691,1.3632672643962689,TE7,Brown,Thomson–East Coast
Springleaf,103.81792447419276,1.3981083796317924,TE4,Brown,Thomson–East Coast
Marina South Pier,103.86291089290123,1.2713773813515974,NS28,Red,North South
Canberra,103.82971485231448,1.4431183775240064,NS12,Red,North South
Woodlands South,103.79389595261564,1.427095476529849,TE3,Brown,Thomson–East Coast
Woodlands North,103.78567472164114,1.448350098494633,TE1,Brown,Thomson–East Coast
Gul Circle,103.6605938692244,1.3195643154245833,EW30,Green,East West
Havelock,103.83357369667694,1.2884503869500783,TE16,Brown,Thomson–East Coast
Napier,103.81903764076158,1.3067313563386187,TE12,Brown,Thomson–East Coast
Shenton Way,103.85062726544149,1.2776198789757385,TE19,Brown,Thomson–East Coast
Great World,103.83344691911547,1.2945316918168188,TE15,Brown,Thomson–East Coast
Maxwell,103.84392208305798,1.2805933535231275,TE18,Brown,Thomson–East Coast
Orchard Boulevard,103.82385764858506,1.3026330243428752,TE13,Brown,Thomson–East Coast
Telok Blangah,103.80973975610934,1.2705817864751912,CC28,Orange,Circle
Teck Whye,103.75369963157156,1.3766592934311064,BP4,,Bukit Panjang LRT
Teck Lee,103.90662621194815,1.4128738707021273,PW2,,Punggol LRT
Tanjong Pagar,103.84585358323419,1.2765150316724942,EW15,Green,East West
Tanah Merah,103.94654794367625,1.327254081976579,EW4,Green,East West
Tan Kah Kee,103.80733086532439,1.3258706044240745,DT8,Blue,Downtown
Upper Thomson,103.83292375597877,1.354405050771702,TE8,Brown,Thomson–East Coast
Mayflower,103.8367907699727,1.3721031732224285,TE6,Brown,Thomson–East Coast
