School Name,address,postal_code,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,Latitude,Longitude,Full Address
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,64588121,na,AMKPS@MOE.EDU.SG,Ang Mo Kio MRT Station; Mayflower MRT Station,"76, 132, 165, 166, 169, 265, 268, 269",MR MUHAMMAD FARIZAL BIN UMAR EFFE,MADAM TAN SIEW KHIM (CHEN XIUQIN),MISS CHEN YANTING NATHALIE,MADAM LIEW KAH CHANG ALETHEA,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.36932176584608,103.839630858752,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22   ,569362,64582425,na,AMKSS@MOE.EDU.SG,ANG MO KIO MRT,"13, 74, 76, 88, 130, 132, 133, 136, 165, 169, 265, 268, 269, 851, 852",MR ASHRAF HYDER YUSOFF MANIAM,MR CHAN WENG ONN MARTIN,MADAM LEE KEE CHIN,na,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36733710171069,103.842154973672,6 ANG MO KIO STREET 22 ANG MO KIO SECONDARY SCHOOL SINGAPORE 569362
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD   ,487012,64414690,na,AHS@MOE.EDU.SG,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 46, 47, 48, 222",MR LIM HOCK CHUAN ALVIN,MR CHIN LIH KEONG,MISS WONG HSIEN HUI,MR SEAH THIAM SIONG,na,na,na,BEDOK,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),Yes,Yes,No,No,CHINESE,na,na,1.33118107926966,103.941853465631,600 UPPER CHANGI ROAD ANGLICAN HIGH SCHOOL SINGAPORE 487012
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST   ,139745,67775479,na,ACJC@MOE.EDU.SG,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",DR. CHEE YAN HOON SHIRLEEN,MR ANG YUAN PENG,MISS AUDREY LIM,MS QUEK SI MIN,MADAM LIM SING THOE,na,na,QUEENSTOWN,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,MALAY,TAMIL,1.30304255193392,103.785358436408,25 DOVER CLOSE EAST ANGLO-CHINESE JUNIOR COLLEGE SINGAPORE 139745
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD   ,309919,62561366,na,ACBRS@MOE.EDU.SG,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 960, 972",MR KHOO TSE HORNG,MR TAN WHYE WEE JEFFREY,MR CHEN HONG MING,MADAM MARIE LOH MEI LING,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.31961649151328,103.835772689988,60 BARKER ROAD ANGLO-CHINESE SCHOOL (BARKER ROAD) SINGAPORE 309919
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD   ,139650,67731433,na,ACIS@MOE.EDU.SG,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MR KOH SUNG- YI ARENE,MR CHIEW TECK TZER TERENCE,MR SOO MUN KEONG PATRICK,MRS TEO LAI CHENG JUDY-HO,DR YONG YUN LEONG ANDREW,MS ALICE TAN SHIH SHIN,na,QUEENSTOWN,SOUTH,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL (S1-JC2),No,No,Yes,Yes,CHINESE,MALAY,TAMIL,1.30370409257783,103.780363417671,121 DOVER ROAD ANGLO-CHINESE SCHOOL (INDEPENDENT) SINGAPORE 139650
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,67346518,na,ACJS@MOE.EDU.SG,Newton MRT Station,"5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M",MISS CHEE CHUERN HWEI CHERYL,MADAM ANG CHAI TING,MR GOH SHEOW EN,MR AARON CHUA BEE HOCK,na,na,na,CENTRAL,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.30935041274966,103.840950265464,16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,63531366,na,ACPS@MOE.EDU.SG,Newton MRT Station,"Bus 48, 66, 67, 170, 960, 972M",MRS LEONG-HO HIL MAY,MR CHUA THIAN KEONG,MADAM TEH HSIAO CHUIN,MADAM SEOW LAY YEN,na,na,na,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL,1.31837054523521,103.835609732354,50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,67845293,na,angsana_pri@moe.edu.sg,Tampines,"Bus Service 68, 68A",MR WONG WOEN LONG,MADAM SULASNI BINTE ABDUL RAHMAN,MADAM LEE HUAY MENG CAROL,MR KONG CHEE CHIEW,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.36360590588314,103.9389409,51 TAMPINES STREET 61 ANGSANA PRIMARY SCHOOL SINGAPORE 528565
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD   ,678117,67636560,na,AES@MOE.EDU.SG,CASHEW MRT,"67, 75, 170, 176, 178, 184, 961, 963, 970",MR TOH KIM YONG VINCENT,MR TAN WEIMING BRIAN,MISS WONG KER SIN,MR QUEK SER HIANG,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36838160662857,103.766687526556,622 UPPER BUKIT TIMAH ROAD ASSUMPTION ENGLISH SCHOOL SINGAPORE 678117
ASSUMPTION PATHWAY SCHOOL,30 Cashew Road   ,679697,67622857,na,aps@schools.gov.sg,"DOWNTOWN LINE 2, CASHEW MRT","SBS Transit No 170; SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",MR STEPHEN CHIN,MADAM SHABNAM LENA,DR WEE SIEW FONG,MRS TANG HUAY JIUAN NEE CHONG,na,na,na,BUKIT PANJANG,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,No,No,No,CHINESE,MALAY,TAMIL,1.3696707043227,103.765959130581,30 CASHEW ROAD ASSUMPTION PATHWAY SCHOOL SINGAPORE 679697
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI   ,538403,62805595,na,BARTLEY_SS@MOE.EDU.SG,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",MISS SEET YING LING BRITTA,MR NG CHOR YAM,MR TING POH LEONG ALOYSIUS,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.33995415587811,103.882806211705,10 JALAN BUNGA RAMPAI BARTLEY SECONDARY SCHOOL SINGAPORE 538403
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,679944,67697244,na,beaconprisch@moe.edu.sg,"Bangkit LRT, Fajar LRT Station, Bukit Panjang MRT","920, 922, 971, 972, 972A, 972M, 976",MISS PANG WEE MIAN,MADAM LELA BTE SHAMSUHADI,MISS MELISSA CHANG SUET MUN,MR CHEN WEI NGIAP,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.38394936211823,103.773632022975,36 BUKIT PANJANG RING ROAD BEACON PRIMARY SCHOOL SINGAPORE 679944
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH   ,318990,62542284,na,BEATTY_SS@MOE.EDU.SG,"BRADDELL MRT, TOA PAYOH MRT","13, 28, 56, 57, 59, 73, 88, 93, 105, 129, 153, 155, 157, 159, 163, 231, 232",MR HARMAN AUGUSTUS JOHLL,MR YEO KOK SAN WILLIAM,MADAM LIM SOK NGIN,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.341790285,103.852280842345,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,469317,64491491,na,bgps@moe.edu.sg,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",MR YONG YIK YEN BENJAMIN,MR YEO SHO HOR,CHUA KOK SENG,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.32344593287992,103.937878976352,1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3   ,469722,64465969,na,BGSS@MOE.EDU.SG,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",MR SHAW SWEE TAT,MISS SAKINAH BINTE MOHAMED SARIP,MR CHEONG HUEI LEONARD,MR LEE CHEE CHONG,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.33451947288431,103.935028383346,360 BEDOK NORTH AVENUE 3 BEDOK GREEN SECONDARY SCHOOL SINGAPORE 469722
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK   ,468585,64491314,na,BSSS@MOE.EDU.SG,TANAH MERAH MRT,"10, 14, 45",MR KOH YONG HWEE DARYL (XU RONGHUI),MISS AZLINDA BTE SAMSUDIN,MR CHEN JINGYUAN ALVIN,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.32513655159184,103.950989139261,1 JALAN LANGGAR BEDOK BEDOK SOUTH SECONDARY SCHOOL SINGAPORE 468585
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3   ,469293,64494286,na,BEDOKVIEW_SS@MOE.EDU.SG,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48",MADAM CHENG HWEE YEANG,MR TYEBALLY AZIZ,MR NEO WEI CHUNG,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.32415704029686,103.943776245024,6 BEDOK SOUTH AVENUE 3 BEDOK VIEW SECONDARY SCHOOL SINGAPORE 469293
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,339948,62995735,na,BENDEMEER_PS@MOE.EDU.SG,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",MADAM LIM KIM GEK,MRS LINDA TAN,MR TOH KIM SING (ZHUO JINSHENG),MR TOO MENG NGEE,na,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.32181250780475,103.865404167629,91 BENDEMEER ROAD BENDEMEER PRIMARY SCHOOL SINGAPORE 339948
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD   ,327919,62932594,na,BENDEMEER_SS@MOE.EDU.SG,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",MS FOO SHEUE FENG,MR HO CHI CHENG,MR MOHD AZMAN B MOHD SIDEK,na,na,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.32425869967174,103.860634248131,1 ST. WILFRED ROAD BENDEMEER SECONDARY SCHOOL SINGAPORE 327919
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,109100,62763037,na,BRPS@MOE.EDU.SG,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,MISS NG POR JOO PEARLY,MISS NARAYANASAMY UMA RANI,MR CHIONH BOON SOO,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.27612047924037,103.808628535239,91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,649930,63160209,na,BLGPS@MOE.EDU.SG,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",MADAM CHRISTINE LIM MIN HUI,MADAM NG BOON IN,MRS AVINASH MURUGESUVARI,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34317853793318,103.713280889452,20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65   ,648354,67941324,na,BLSS@MOE.EDU.SG,Boon Lay,"30, 79, 99, 154, 157, 172, 174, 178, 179, 180, 181, 181M, 187, 192, 193, 194, 198, 199, 240, 241, 242, 243G/W, 246, 249, 251, 252, 258, 405, 502, 974",MR CHAN ZHENG MING,MR KOH CHON KIAT,MR TAN HWEE SIANG,,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.34272216334333,103.701891453912,11 JURONG WEST STREET 65 BOON LAY SECONDARY SCHOOL SINGAPORE 648354
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI   ,547529,63856559,na,BOWEN_SS@MOE.EDU.SG,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",MR LOH CHIH HUI,MR CHEN ZHAOKAI BENJAMIN,MR GOH KEE YONG @ GOH CHONG HENG,na,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.37035994436209,103.877659577677,2 LORONG NAPIRI BOWEN SECONDARY SCHOOL SINGAPORE 547529
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT   ,399935,64471427,na,BROADRICK_SS@MOE.EDU.SG,DAKOTA MRT,"10, 16, 30, 31, 32, 33",MR NG TIONG NAM,MR BAMBANG PURNAMA PUTRA SHAKNI,MS NG FOONG MENG,na,na,na,na,GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.30705061123433,103.886917922608,61 DAKOTA CRESCENT BROADRICK SECONDARY SCHOOL SINGAPORE 399935
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8   ,658962,65607006,na,BBSS@MOE.EDU.SG,BUKIT BATOK MRT,"66, 66C, 157, 174, 174E, 178, 506, 941, 991",MISS WONG KAH WAI SHIRLEY,"MR CHENG POH HUAT, ALAN",MADAM CHIA BEE KHIM MABEL,MR CHAN TECK HONG DAVID,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.34849111079052,103.74087370482,50 BUKIT BATOK WEST AVENUE 8 BUKIT BATOK SECONDARY SCHOOL SINGAPORE 658962
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU   ,159050,64744122,na,BMSS@MOE.EDU.SG,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",MR DARREN CHONG WAI KI,MR KOH SIEW BOON,MS CHAN LAI YING,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.28569283064288,103.813438929393,10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4   ,689809,67626576,na,BPGHS@MOE.EDU.SG,CHOA CHU KANG MRT,"300, 983",MR SEET TIAT HEE,MDM TEO TING TING,MR TAN FONG WEI,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.38224243360043,103.738361221869,7 CHOA CHU KANG AVENUE 4 BUKIT PANJANG GOVERNMENT HIGH SCHOOL SINGAPORE 689809
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,67637462,na,BPPS@MOE.EDU.SG,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",MADAM LEN LENG LENG TERESA KELLY,MR CHAN WENG KIT MARK,MADAM KAY HWEE GEAK,MR CHAN KEN YAN MICHAEL,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37362179302436,103.769374904025,109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,598112,64692179,na,bukittimahps@moe.edu.sg,"Beauty World, Bukit Batok and Clementi Stations",173,MISS LAU WAN SZE,MDM JAN LIN,"MADAM KOH LEE KUN, SHIRLYN",na,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3377498622588,103.766855344779,111 LORONG KISMIS AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,659634,65635015,na,BUKITVIEW_PS@MOE.EDU.SG,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",MADAM TEO ENG HUI,MADAM LAI SEOW POH,MRS LEE JUN WEN,MR GOH GIN HOWE,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34586054788695,103.75366641455,18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21   ,659633,65630945,na,BUKITVIEW_SS@MOE.EDU.SG,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 173, 174, 178, 189, 506, 653, 852, 963, 990",na,MR MAK YEW CHONG,MISS MRS ANNA LING,MR NEO KIM HANG,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.3457330554294,103.752226593984,16 BUKIT BATOK STREET 21 BUKIT VIEW SECONDARY SCHOOL SINGAPORE 659633
