Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
RIVERSOUND RESIDENCE,"1,350,000","1,065.64","1,267",Apr-23,SENGKANG EAST AVENUE,Resale,Strata,99,"13,636",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
BALMORAL GATE,"2,750,000","1,259.39","2,184",Apr-23,BALMORAL ROAD,Resale,Strata,117,"23,504",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
LE REGAL,"550,000",365.98,"1,503",Apr-23,GEYLANG ROAD,Resale,Strata,34,"16,176",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
TREASURE PLACE,"2,820,000","2,174.33","1,297",Apr-23,LORONG SARHAD,Resale,Strata,202,"13,960",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
KINGSFORD WATERBAY,"930,000",688.9,"1,350",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,64,"14,531",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
THE SHORE RESIDENCES,"1,608,880",893.41,"1,801",Apr-23,AMBER ROAD,Resale,Strata,83,"19,384",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,16 to 20
THE CREEK @ BUKIT,"1,338,000",753.48,"1,776",Apr-23,TOH TUCK ROAD,Resale,Strata,70,"19,114",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
GUILIN VIEW,"1,770,000","1,700.71","1,041",Apr-23,BUKIT BATOK STREET 52,Resale,Strata,158,"11,203",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,06 to 10
THE SANTORINI,"1,680,000","1,259.39","1,334",Apr-23,TAMPINES STREET 86,Resale,Strata,117,"14,359",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,06 to 10
THE TRE VER,"1,275,000",688.9,"1,851",Apr-23,POTONG PASIR AVENUE 1,Sub Sale,Strata,64,"19,922",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,16 to 20
THE LUCENT,"1,510,000","1,011.82","1,492",Apr-23,LORONG N TELOK KURAU,Resale,Strata,94,"16,064",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
STUDIOS @ MARNE,"752,000",516.67,"1,455",Apr-23,MARNE ROAD,Resale,Strata,48,"15,667",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"2,045,000",882.65,"2,317",Apr-23,STIRLING ROAD,Resale,Strata,82,"24,939",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
THE SOUND,"2,328,000","1,248.62","1,864",Apr-23,EAST COAST ROAD,Resale,Strata,116,"20,069",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE LAKESHORE,"1,180,000",947.23,"1,246",Apr-23,JURONG WEST STREET 41,Resale,Strata,88,"13,409",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,11 to 15
NV RESIDENCES,"1,118,000",904.18,"1,236",Apr-23,PASIR RIS GROVE,Resale,Strata,84,"13,310",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
THE LANAI,"1,650,000","1,044.11","1,580",Apr-23,HILLVIEW AVENUE,Resale,Strata,97,"17,010",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,06 to 10
GOODWOOD RESIDENCE,"6,800,000","2,604.89","2,610",Apr-23,BUKIT TIMAH ROAD,Resale,Strata,242,"28,099",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
RIVERFRONT RESIDENCES,"800,000",462.85,"1,728",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,43,"18,605",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE VISION,"2,050,000","1,313.21","1,561",Apr-23,WEST COAST CRESCENT,Resale,Strata,122,"16,803",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,21 to 25
WATER PLACE,"2,050,000","1,216.33","1,685",Apr-23,TANJONG RHU ROAD,Resale,Strata,113,"18,142",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,11 to 15
EUHABITAT,"1,340,000",925.7,"1,448",Apr-23,JALAN EUNOS,Resale,Strata,86,"15,581",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
SKY VUE,"1,538,000",796.54,"1,931",Apr-23,BISHAN STREET 15,Resale,Strata,74,"20,784",-,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,26 to 30
CHANGI COURT,"1,425,000","1,162.51","1,226",Apr-23,UPPER CHANGI ROAD EAST,Resale,Strata,108,"13,194",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
THE GALE,"808,000",688.9,"1,173",Apr-23,FLORA ROAD,Resale,Strata,64,"12,625",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"980,000",613.55,"1,597",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,57,"17,193",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
PARC KOMO,"1,000,000",559.73,"1,787",Apr-23,UPPER CHANGI ROAD NORTH,Sub Sale,Strata,52,"19,231",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
MARGARET VILLE,"1,152,000",527.44,"2,184",Apr-23,MARGARET DRIVE,Resale,Strata,49,"23,510",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
GLENDALE PARK,"1,950,000","1,248.62","1,562",Apr-23,HILLVIEW AVENUE,Resale,Strata,116,"16,810",-,Condominium,1,Freehold,23,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"830,000",484.38,"1,714",Apr-23,HOUGANG AVENUE 2,Sub Sale,Strata,45,"18,444",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
STIRLING RESIDENCES,"1,450,000",624.31,"2,323",Apr-23,STIRLING ROAD,Resale,Strata,58,"25,000",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
STRATUM,"1,800,000","1,711.48","1,052",Apr-23,ELIAS ROAD,Resale,Strata,159,"11,321",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
AVILA GARDENS,"1,550,000","1,323.97","1,171",Apr-23,FLORA ROAD,Resale,Strata,123,"12,602",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
COCO PALMS,"1,040,000",742.72,"1,400",Apr-23,PASIR RIS GROVE,Resale,Strata,69,"15,072",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
ONE HOLLAND VILLAGE RESIDENCES,"2,400,000",796.54,"3,013",Apr-23,HOLLAND VILLAGE WAY,New Sale,Strata,74,"32,432",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,26 to 30
ONE PEARL BANK,"3,119,000","1,184.04","2,634",Apr-23,PEARL BANK,New Sale,Strata,110,"28,355",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,26 to 30
RIVIERE,"3,298,000","1,173.28","2,811",Apr-23,JIAK KIM STREET,New Sale,Strata,109,"30,257",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,31 to 35
WESTCOVE CONDOMINIUM,"1,150,000","1,140.98","1,008",Apr-23,WEST COAST CRESCENT,Resale,Strata,106,"10,849",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
CARDIFF RESIDENCE,"830,000",645.84,"1,285",Apr-23,CARDIFF GROVE,Resale,Strata,60,"13,833",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
PARC RIVIERA,"1,918,000","1,184.04","1,620",Apr-23,WEST COAST VALE,Resale,Strata,110,"17,436",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,11 to 15
FORESQUE RESIDENCES,"1,760,000","1,184.04","1,486",Apr-23,PETIR ROAD,Resale,Strata,110,"16,000",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,21 to 25
THE GAZANIA,"3,700,000","1,969.81","1,878",Apr-23,HOW SUN DRIVE,New Sale,Strata,183,"20,219",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
PENANG SERVICE APARTMENTS,"1,198,000","1,011.82","1,184",Apr-23,LORONG 34 GEYLANG,Resale,Strata,94,"12,745",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THE LANDMARK,"1,871,338",678.13,"2,760",Apr-23,CHIN SWEE ROAD,New Sale,Strata,63,"29,704",-,Condominium,1,99 yrs lease commencing from 2020,03,Rest of Central Region,31 to 35
KENSINGTON SQUARE,"730,000",430.56,"1,695",Apr-23,JALAN LOKAM,Resale,Strata,40,"18,250",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
CLOVER BY THE PARK,"2,180,000","1,280.92","1,702",Apr-23,BISHAN STREET 25,Resale,Strata,119,"18,319",-,Condominium,1,99 yrs lease commencing from 2007,20,Rest of Central Region,06 to 10
NEPTUNE COURT,"1,925,000","1,636.13","1,177",Apr-23,MARINE VISTA,Resale,Strata,152,"12,664",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,11 to 15
J GATEWAY,"928,000",473.62,"1,959",Apr-23,GATEWAY DRIVE,Resale,Strata,44,"21,091",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,21 to 25
PARKSUITES,"1,626,360",656.6,"2,477",Apr-23,HOLLAND GROVE ROAD,New Sale,Strata,61,"26,662",-,Apartment,1,110 yrs lease commencing from 2017,10,Core Central Region,01 to 05
SUNVILLE,"1,725,000","1,173.28","1,470",Apr-23,ST. MICHAEL'S ROAD,Resale,Strata,109,"15,826",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
LEEDON GREEN,"2,002,000",710.42,"2,818",Apr-23,LEEDON HEIGHTS,New Sale,Strata,66,"30,333",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
PERFECT TEN,"2,647,750",796.54,"3,324",Apr-23,BUKIT TIMAH ROAD,New Sale,Strata,74,"35,780",-,Apartment,1,Freehold,10,Core Central Region,16 to 20
TREASURE AT TAMPINES,"1,301,000",818.06,"1,590",Apr-23,TAMPINES LANE,Sub Sale,Strata,76,"17,118",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
VACANZA @ EAST,"1,210,000",839.59,"1,441",Apr-23,LENGKONG TUJOH,Resale,Strata,78,"15,513",-,Condominium,1,Freehold,14,Outside Central Region,06 to 10
RIVERVALE CREST,"1,100,000","1,205.57",912,Apr-23,RIVERVALE CRESCENT,Resale,Strata,112,"9,821",-,Apartment,1,99 yrs lease commencing from 1997,19,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"1,330,000",871.88,"1,525",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,81,"16,420",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE CALROSE,"2,470,000","1,442.38","1,712",Apr-23,YIO CHU KANG ROAD,Resale,Strata,134,"18,433",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
THE COMMODORE,"1,818,000","1,184.04","1,535",Apr-23,CANBERRA DRIVE,New Sale,Strata,110,"16,527",-,Condominium,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05
KOPAR AT NEWTON,"1,436,000",516.67,"2,779",Apr-23,MAKEWAY AVENUE,New Sale,Strata,48,"29,917",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,21 to 25
IRWELL HILL RESIDENCES,"2,030,000",667.37,"3,042",Apr-23,IRWELL HILL,New Sale,Strata,62,"32,742",-,Apartment,1,99 yrs lease commencing from 2020,09,Core Central Region,31 to 35
SKYLINE RESIDENCES,"2,700,000","1,291.68","2,090",Apr-23,TELOK BLANGAH ROAD,Resale,Strata,120,"22,500",-,Condominium,1,Freehold,04,Rest of Central Region,11 to 15
KLIMT CAIRNHILL,"7,370,000","2,055.92","3,585",Apr-23,CAIRNHILL ROAD,New Sale,Strata,191,"38,586",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
WATERFRONT WAVES,"1,200,000",968.76,"1,239",Apr-23,BEDOK RESERVOIR ROAD,Resale,Strata,90,"13,333",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,11 to 15
OXLEY GARDEN,"3,100,000","1,646.89","1,882",Apr-23,OXLEY GARDEN,Resale,Strata,153,"20,261",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
TRE RESIDENCES,"1,245,000",764.24,"1,629",Apr-23,GEYLANG EAST AVENUE 1,Resale,Strata,71,"17,535",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10
PARC ESTA,"2,168,000",958,"2,263",Apr-23,SIMS AVENUE,Sub Sale,Strata,89,"24,360",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15
ORCHID PARK CONDOMINIUM,"1,050,000","1,140.98",920,Apr-23,YISHUN STREET 81,Resale,Strata,106,"9,906",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,01 to 05
SIMS URBAN OASIS,"827,000",484.38,"1,707",Apr-23,SIMS DRIVE,Resale,Strata,45,"18,378",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
WEST BAY CONDOMINIUM,"1,390,000","1,291.68","1,076",Apr-23,WEST COAST CRESCENT,Resale,Strata,120,"11,583",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
OASIS GARDEN,"1,860,000","1,237.86","1,503",Apr-23,JALAN BUNGA RAMPAI,Resale,Strata,115,"16,174",-,Condominium,1,Freehold,19,Rest of Central Region,06 to 10
TREE HOUSE,"1,180,000",807.3,"1,462",Apr-23,CHESTNUT AVENUE,Resale,Strata,75,"15,733",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,01 to 05
THE CASCADIA,"3,260,000","1,582.31","2,060",Apr-23,BUKIT TIMAH ROAD,Resale,Strata,147,"22,177",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
OCEAN FRONT SUITES,"625,000",409.03,"1,528",Apr-23,JALAN LOYANG BESAR,Resale,Strata,38,"16,447",-,Apartment,1,946 yrs lease commencing from 1937,17,Outside Central Region,01 to 05
LAGOON VIEW,"1,950,000","1,646.89","1,184",Apr-23,MARINE PARADE ROAD,Resale,Strata,153,"12,745",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,21 to 25
JERVOIS REGENCY,"2,650,000","2,443.43","1,085",Apr-23,JERVOIS ROAD,Resale,Strata,227,"11,674",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
JADESCAPE,"1,025,000",527.44,"1,943",Apr-23,SHUNFU ROAD,Sub Sale,Strata,49,"20,918",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05
RIO VISTA,"1,338,000","1,237.86","1,081",Apr-23,UPPER SERANGOON VIEW,Resale,Strata,115,"11,635",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,16 to 20
GRAMERCY PARK,"8,000,000","2,206.62","3,625",Apr-23,GRANGE ROAD,Resale,Strata,205,"39,024",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
DAISY LODGE,"830,000",688.9,"1,205",Apr-23,DAISY ROAD,Resale,Strata,64,"12,969",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05
D'NEST,"695,000",484.38,"1,435",Apr-23,PASIR RIS GROVE,Resale,Strata,45,"15,444",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
THE INTERLACE,"3,200,000","1,937.52","1,652",Apr-23,DEPOT ROAD,Resale,Strata,180,"17,778",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,06 to 10
THE SANTORINI,"1,528,000","1,130.22","1,352",Apr-23,TAMPINES STREET 86,Resale,Strata,105,"14,552",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,06 to 10
